,Dimension Fractale,Entropie Approximative,Dimension Corrélation Ponctuelle,Analyse Fluctuation Sans Tendance,Exposant Lyapunov
Période 1,-0.008282055707037352,3.4870806523842974,0.7105197124783079,1.347256918444601,-inf
Période 2,-0.011819842656248903,4.206363450362982,0.7508678445548083,1.161739353770946,2.840156853472705
Période 3,-0.006077144898486152,3.38125570716248,0.589169386686521,2.2084753155623025,2.6791007555741597
